KEY	영어	한국어	중국어(간체)
FSettingMain:share.kakao.msg	I wanted to invite you to try Polaris Office. \nPOLARIS Office is a free office app that allows you to easily create, share, and edit documents anytime and anywhere. Sign up with the link I've sent you and you'll receive additional cloud storage.	Polaris Office를 사용해보니 Microsoft Office 문서를 자주 사용하시는 분께는 정말 필요한 것 같아요. 무료 오피스니까 문서 작업 많이 하시는 분들은 이 링크를 통해서 가입하시고 보너스 용량도 받아보세요.	Polaris Office 对经常使用 Microsoft Office 文件的人来说，是必备工具。点击这个链接注册后，还能获得更多容量。
FSettingMain:share.line.msg	Polaris Office is a free office app which is great for creating and editing Microsoft Office documents. Sign up today to get additional FREE storage.\n%@	Polaris Office를 사용해보니 Microsoft Office 문서를 자주 사용하시는 분께는 정말 필요한 것 같아요. 무료 오피스니까 문서 작업 많이 하시는 분들은 이 링크를 통해서 가입하시고 보너스 용량도 받아보세요.\n%@	Polaris Office 对经常使用 Microsoft Office 文件的人来说，是必备工具。点击这个链接注册后，还能获得更多容量。\n%@
FSettingMain:SNSNameFacebook	Facebook	페이스북	Facebook
FSettingMain:SNSNameTwitter	Twitter	트위터	Twitter
FSettingMain:lblProductInfo	Product Information	제품 정보	产品信息
FSettingMain:btnSleepOff	Sleep Mode	슬립 모드	睡眠模式
FSettingMain:btnAdSub3	Feedback	문의하기	提问
FSettingMain:SNSConfigureNeeded	Register %@ account\nand try it again.	%@ 계정 설정 후 다시 시도해주세요.	请设置 %@ 账户后重试
FSettingMain:lblGradeUsage	Service Subscriber	서비스 사용중	服务使用中
FSettingMain:lblFree	Free	Free	免费
FSettingMain:lblPremium	Premium	Premium	高级
FSettingMain:btnBonusStorage	Get More Storage	추가 용량 받기	获取更多容量
FSettingMain:lblRecommendSupport	Support	추천 및 지원	推荐及用户支持
FSettingMain:btnMyDevice	My Devices	내 장치	我的设备
FSettingMain:btnAddress	Address Book	주소록 관리	管理通讯录
FSettingMain:btnReview	Review	평가하기	发表评论
FSettingMain:btnRecommand	Get More Storage	추가 용량 받기	获取更多容量
FSettingMain:lblUsing	Using	사용중	使用中
FSettingMain:lblEdit	Edit	편집	编辑
FSettingMain:lblDueDate	Available until	까지 이용가능	到期
FSettingMain:Alert_NetworkDisconnected	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
FSettingMain:Error_AIRPLANE	Please turn off Airplane mode to access your data.	데이터에 접근하려면, \n에어플레인 모드를 해제해 주세요.	要访问数据，请先解除飞行模式。
FSettingMain:LinkError	The network is busy.\nPlease try it again later.	네트워크 상태가 원활하지 않습니다.\n잠시 후 다시 시도해 주세요.	网络状态不稳定，请稍后再试
FSettingMain:lblChnageName	Change Name	이름 변경	更改昵称
FSettingMain:lblChnagePass	Change Password	비밀번호 변경	更改密码
FSettingMain:lblRecommend	Recommend	추천하기	推荐
FSettingMain:btnLockMode	Set Passcode	잠금 설정	锁定设置
FSettingMain:lblSetupPass	Set Password	비밀번호 설정	设置密码
FSettingMain:lblPOSIntall	Polaris Office for PCs	Desktop용 Polaris Office	用于计算机的 Polaris Office Sync
			
FObjBrowserVC:newFolder	New Folder	새 폴더	新建文件夹
FObjBrowserVC:errorSync	This file is not synchronized.\nPlease synchronize it first.	동기화가 되지 않은 파일입니다.\n동기화 후 진행바랍니다.	尚未同步的文件！\n请完成同步后进行。
			
FObjCell:btnCancel	Cancel	취소	取消
FObjCell:maxLength	The text amount exceeded the maximum character limit.	제한된 글자수를 초과하였습니다.	已超过限制的字符数！
FObjCell:sameFolder	\%@\\nalready exists.\nPlease try a different name.	\'%@\'\n이/가 존재합니다.\n다른 이름으로 저장 해 주세요.	\%@\"\n已存在！\n请用其他名称保存。"
FObjCell:sameFile	\%@.%@\\nalready exists.\nPlease try a different name.	\'%@.%@\'\n이/가 존재합니다.\n다른 이름으로 저장 해 주세요.	\%@.%@\"\n已存在！\n请用其他名称保存。"
FObjCell:zeroLengthFile	Enter a filename.	파일명을 입력해주세요.	请输入文件名
FObjCell:zeroLengthFolder	Enter a folder name.	폴더명을 입력해주세요.	请输入文件夹名
FObjCell:specialCharacter	Special characters (\\, /, :, *, ?, \, “, <, >, and |)\ncannot be used.	특수문자 (\\ / : * ? \ “ < > |)는\n사용할 수 없습니다.	不能使用特殊字符 (\\ / : * ? \ “ < > |)！
FObjCell:unsupportedString	.. cannot be used.	..'문자는 사용할 수 없습니다.	不能使用\..\"！"
FObjCell:unsupportedStringdot	. cannot be used at the folder names.	.'문자는 폴더이름에 사용할 수 없습니다.	\.\"不能用于文件夹名！"
			
PopSettingInform:btnTwitter	Post on Twitter	Twitter로 알리기	通过 Twitter 发送
PopSettingInform:btnFacebook	Post on Facebook	Facebook으로 알리기	通过 Facebook 发送
PopSettingInform:btnEmail	Send E-mail	E-mail로 알리기	通过电子邮件发送
PopSettingInform:btnCancel	Cancel	취소	取消
			
FContactList:close	Close	닫기	关闭
FContactList:sync	Sync	동기화	同步
FContactList:lblContactList	Contacts	주소록 관리	管理通讯录
FContactList:contactTab	Address Book	주소록	通讯录
FContactList:hiddenTab	Hidden Lists	숨김 목록	隐藏列表
FContactList:hide	Hide	숨기기	隐藏
FContactList:unhide	Show	숨김 해제	取消隐藏
FContactList:hidden_fail	Unable to hide the address book.	주소록 숨기기를 할 수 없습니다.	无法隐藏通讯录！
FContactList:show_fail	Unable to show the hidden address book.	주소록 숨기기 해제를 할 수 없습니다.	无法取消通讯录隐藏！
FContactList:syncAddressAlert	Do you want to import the device's contact list to Polaris Office address book?	현재의 계정으로 단말에 있는 주소록을\n취합합니다. 진행 하시겠습니까?	使用当前账户，把设备上的通讯录进行整合。\n要继续吗？
			
FAddressBookManager:ContactAccessAlert	To change access settings of the address book, please go to Privacy > Contacts > Polaris Office.	주소록 접근 설정을 변경하고 싶으시면 개인 정보 보호 > 연락처 > Polaris Office 설정을 활성화 해주세요.	如需更改通讯录访问设置，请在设备的\设置\">\"隐私\">\"通讯录\"中进行设置。"
			
FContactListCell:hide	Hide	숨기기	隐藏
FContactListCell:unhide	Show	숨김 해제	取消隐藏
			
FLicenseVC:lblTitle	Terms and Conditions of Use	사용권 계약 고지	使用权限条款
FLicenseVC:textView	Infraware and the developer per their agreement allows users to use this software on their device. Users may not make and/or duplicate, nor distribute this application illegally. Users will be notified of software updates as well as promotional events regrarding Polaris Office. In order to receive the updates and/or event, Wifi, WLAN, Mobile Data, or some form of internet connection is required to connect to the Infraware server. By agreeing to the terms and conditions of use of this application, users agree to receive such notifications and information sent to them from Infraware. Users are not required to update the application but in the event that users do, they subsequently will agree to any future terms and conditions that come with the updates including but not limited to additional update and promotional information. By agreeing to these terms and condition of use users agree that data regarding the performance and use of the application will be recorded and collected solely for the purposes of logging crash data and to improve user experience. No personal data will be collected or distributed for any means or for any other parties. We respect the privacy of our users.	사용자는 (주)인프라웨어와의 사용권 계약에서 정한 조건에 따라 따라 이 소프트웨어를 사용할 수 있습니다. 사용권 계약의 자세한 내용은 환경설정의 EULA를 참고하시기 바랍니다. 이 소프트웨어는 공지사항을 통해 성능 개선정보, 각종 이벤트 정보를 수신하기 위하여 Wi-Fi 접속 등 일정한 조건이 되면 정기적으로 업데이트 관리 서버와 통신할 수 있습니다.\n\n다음 사항에 동의하면 사용자는 (주)인프라웨어가 제공하는 각종 정보와 서비스를 추가로 받을 수 있습니다. 사용자는 본 계약에 동의하지 않더라도 이 소프트웨어를 사용할 수 있습니다. 이 소프트웨어가 성능 및 사용성 개선을 위한 작동오류정보, 내부 기능에 대한 익명사용통계 등을 기록하고, 업데이트 관리 서버와 통신 시 이를 전송하는 것에 동의합니다.	用户可按照与 INFRAWARE 公司的使用权限条款所规定的条件使用该软件。使用权限条款的详细内容，请参考\设置\"中的\"最终用户许可协议\"。该软件在有 Wi-Fi 连接等一定条件下，会定期连接到升级管理服务器，接收升级、活动等信息。\n\n同意以下内容时，还能额外接收由 INFRAWARE 公司提供的更多信息和服务。用户即使不同意本条款也能正常使用该软件。同意该软件记录用于改善性能及可用性的动作异常信息和对内部功能的匿名使用统计，并在连接升级服务器时上传相关数据。"
FLicenseVC:btnDisagreement	I do not agree	동의 안함	不同意
FLicenseVC:btnAgreement	I agree	동의	同意
			
FSettingInfo:lblError	An unknown error has occurred.\nPlease try it again.	알 수 없는 오류가 발생하였습니다.\n다시 시도해 주세요.	发生未知错误！\n请重试。
			
MAddressBookManager:ContactAccessAlert	To change access settings of the address book, please go to Privacy > Contacts > Polaris Office.	주소록 접근 설정을 변경하고 싶으시면 개인 정보 보호 > 연락처 > Polaris Office 설정을 활성화 해주세요.	如需更改通讯录访问设置，请在设备的\设置\">\"隐私\">\"通讯录\"中进行设置。"
MAddressBookManager:syncAddressAlert	Do you want to import the device's contact list to Polaris Office address book?	현재의 계정으로 단말에 있는 주소록을\n취합합니다. 진행 하시겠습니까?	使用当前账户，把设备上的通讯录进行整合。\n要继续吗？
			
PopCellLock:btnLocked	Locked (%d)	잠금 설정 (%d)	锁定 (%d)
PopCellLock:btnUnlocked	Unlocked (%d)	잠금 해제 (%d)	解锁 (%d)
			
PopContactNotice:notice1	Edit and Share documents with other people. \n\nSync your address book to easily share documents to your friends.\n\nYour address book in Polaris Office is protected and will not be distributed without your permission.	Polaris Office에서 \n문서를 공유하고 협업하세요.\n\n회원님 단말 연락처를 연동하여 지인에게\n 문서를 쉽게 공유할 수 있습니다.\n\nPolaris Office에 저장된\n 이메일 주소록은 안전하게 보관되며\n 회원님의 허가 없이 사용되지 않습니다.	请在 Polaris Office 共享文件并进行协作办公。\n\n调用您的通讯录，可向联系人轻松共享您的文件。\n\n保存在 Polaris Office 的联系人电子邮箱，不会在没有您的许可而用于其他用途。
PopContactNotice:notice2	Upload your device's contact list to Polaris Office address book.\n\nYou may easily share documents to your friends via address book in Polaris Office. \n\nThe uploaded contacts in Polaris Office is encrypted and protected and it will never be used without your permission.	회원님 단말 연락처에 있는 이메일 주소 목록을\n Polaris Office 서버에 업로드 합니다.\n\n언제 어디서나 Polaris Office 서비스에\n 로그인하면 업로드했던 주소록을 통해\n 회원님의 지인에게 보다 쉽게 문서를 공유하고\n 협업 할 수 있습니다. \n\nPolaris Office에 저장된 주소록은\n 암호화되어 안전하게 보관되며,\n 본 서비스 내 사용 목적 이외에는\n 다른 용도로 활용되지 않습니다.	将把您设备上的联系人电子邮箱列表上传到 Polaris Office 服务器。\n\n登录 Polaris Office 服务，可通过已上传的通讯录信息随时随地向您的联系人共享文件，并进行协作办公。\n\n保存在 Polaris Office 的通讯录会被加密，除本服务之外，不会用于其他用途。
PopContactNotice:title	Notification	주소록 수집 안내	通讯录收集向导
PopContactNotice:cancel	Cancel	취소	取消
PopContactNotice:btnMore	[More]	더 알아보기	了解更多
PopContactNotice:btnNext	Next step >	다음 단계	下一个阶段
			
PopFileDelete:lblText	Do you want to delete the selected file(s)?	선택한 파일(들)을 삭제하시겠습니까?	要删除选中的文件吗？
PopFileDelete:lblText2	Do you want to delete the item?	항목을 삭제하시겠습니까?	要删除项目吗？
PopFileDelete:lblFolder	Folder	폴더	文件夹
PopFileDelete:lblFile	File	파일	文件
PopFileDelete:btnDel	Delete (%d)	삭제 (%d)	删除 (%d)
			
PopNewFile:cellDoc	Word	워드	文档
PopNewFile:cellSheet	Sheet	시트	电子表格
PopNewFile:cellSlide	Slide	슬라이드	幻灯片
PopNewFile:cellText	Text	텍스트	文本文档
PopNewFile:cellNewFolder	Folder	폴더	新建文件夹
PopNewFile:cellHwp	Korean	한글	Hangul 文档
			
PopAlert:btnConfirm	OK	확인	确认
PopAlert:btnCancel	Cancel	취소	取消
PopAlert:btnPremium	Check Upgrades	업그레이드 서비스 확인	确认升级服务
PopAlert:btnYes	Yes	예	是
PopAlert:btnNo	No	아니오	不是
			
PopPremium:lblTitle	Polaris Office	Polaris Office	Polaris Office
PopPremium:lblText.newDoc	Upgrade your application for more features.	편집을 위해 업그레이드를 해 보세요.	升级后可以使用编辑功能。
PopPremium:lblText.saveDoc	Documents cannot be saved\nin the free trial version.	무료 서비스에서는 문서 저장 기능을\n사용하실 수 없습니다.	在免费服务中，不能使用文件保存功能！
PopPremium:btnShowAgain	Do now show this again	다시 보지 않기	不再提示
PopPremium:btnPremium	Check Upgrade\nService	프리미엄\n서비스 확인	确认付费服务
PopPremium:btnConfirm	OK	확인	确认
			
PopAddCloud:btnCancel	Cancel	취소	取消
PopAddCloud:lblCloudTitle	Cloud	클라우드	云盘
PopAddCloud:cellGoogle	Google Drive	Google Drive	Google Drive
PopAddCloud:cellBoxnet	Box.net	Box.net	Box.net
PopAddCloud:cellDropbox	Dropbox	Dropbox	Dropbox
PopAddCloud:cellWebDAV	WebDAV	WebDAV	WebDAV
PopAddCloud:cellSugarSync	Sugar Sync	Sugar Sync	Sugar Sync
PopAddCloud:cellUcloud	ucloud	ucloud	ucloud
PopAddCloud:cellSkyDrive	OneDrive	OneDrive	OneDrive
PopAddCloud:cellHuddle	Huddle	Huddle	Huddle
PopAddCloud:cellDocomo	Docomo	Docomo	Docomo
PopAddCloud:Unknown	Unknown	Unknown	未知
PopAddCloud:lblServiceTitle	Add Service	서비스 추가	添加服务
PopAddCloud:lblService	Service	서비스	服务
PopAddCloud:lblEmail	E-mail	이메일	电子邮箱
PopAddCloud:lblAccount	Account	계정	用户名
PopAddCloud:lblServiceWebDAV	Server Address	서버 주소	服务器地址
PopAddCloud:lblEmailWebDAV	Username	사용자 명	用户名称
PopAddCloud:lblPassword	Password	비밀번호	密码
PopAddCloud:btnConfirm	Done	완료	完成
PopAddCloud:btnBack	Back	이전	返回
PopAddCloud:fieldService	Required	필요함	必填
PopAddCloud:fieldEmail	Example@mail.com	Example@mail.com	Example@mail.com
PopAddCloud:fieldPassword	Required	필요함	必填
PopAddCloud:fieldEmailWebDAV	Options	옵션	可选
PopAddCloud:fieldPasswordWebDAV	Options	옵션	可选
PopAddCloud:alertNetworkDisconnected	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！请在连接蜂窝移动数据或 Wi-Fi 后使用。
PopAddCloud:alertNetworkError	You are not connected to a network. Please connect to a network or Wi-Fi first.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！请在连接蜂窝移动数据或 Wi-Fi 后使用。
PopAddCloud:alertNotAddress	Incorrect server address.	잘못된 서버주소입니다.	服务器地址错误！
PopAddCloud:alertAuthenticationError	The e-mail address/password \n you entered is not valid.\n Please enter again.	유효하지 않은 이메일 또는\n비밀번호입니다. 다시 시도해 주세요.	无效的邮箱地址或密码！请重试。
PopAddCloud:alertWebDAVAuthError	The e-mail address/password \n you entered is not valid.\n Please enter again.	유효하지 않은 사용자 명 또는\n비밀번호입니다. 다시 시도해 주세요.	无效的用户名或密码！\n请重试。
PopAddCloud:alertLoginExpiredError	The login session has expired.\nPlease log in again.	로그인 세션이 만료되었습니다.\n다시 로그인해 주세요.	登录会话已过期！\n请重新登录。
PopAddCloud:alertAuthenticationErrorTitle			
PopAddCloud:alertDupleTitle	This account is already in Use	계정 중복	账户重复
PopAddCloud:Error_AIRPLANE	Please turn off the Airplane mode to access the data.	데이터에 접근하려면, \n에어플레인 모드를 해제해 주세요.	要访问数据，请先解除飞行模式。
PopAddCloud:Error_ONZIP	Zip file error.	압축 파일 오류	压缩文件错误！
PopAddCloud:alertNotAddress	Wrong server address.	잘못된 서버 주소입니다.	服务器地址错误！
PopAddCloud:alertNotFindAddress	A server with the specified host name could not be found.	지정된 호스트 이름을 포함하는\n서버를 찾을 수 없습니다.	无法找到指定主机名的服务器！
PopAddCloud:DuplicateService	The service cannot be registered more than once.	해당서비스는 중복하여\n등록할 수 없습니다.	不能重复登录该服务！
PopAddCloud:WrongRequest	Server response error (%d).	서버 응답 오류(%d)	服务器响应错误 (%d)
			
PopInsertLabel:btnCancel	Cancel	취소	取消
PopInsertLabel:btnOk	OK	확인	确认
PopInsertLabel:lblTitle	Title	제목	标题
PopInsertLabel:xname	X Axis	X 축	水平轴
PopInsertLabel:yname	Y Axis	Y 축	垂直轴
PopInsertLabel:alertTitleLength	Titles cannot exceed 31 characters.	제목은 31자를 넘을 수 없습니다.	标题长度不能超过 31 个字符！
PopInsertLabel:alertLabelLength	Labels cannot exceed 31 characters.	레이블은 31자를 넘을 수 없습니다.	标签长度不能超过 31 个字符！
PopInsertLabel:alertXAxisLabelLength	X axis cannot exceed 31 characters.	X축 레이블은 31자를 넘을 수 없습니다.	水平轴标签长度不能超过 31 个字符！
PopInsertLabel:alertYAxisLabelLength	Y axis cannot exceed 31 characters.	Y축 레이블은 31자를 넘을 수 없습니다.	垂直轴标签长度不能超过 31 个字符！
			
PopTwoBtn:lblTitle	Delete	삭제	删除
PopTwoBtn:lblText	Do you want to delete\nthe %@ service?	해당 서비스(%@)를 \n삭제하시겠습니까?	要删除该服务 (%@) 吗？
PopTwoBtn:btnCancel	Cancel	취소	取消
PopTwoBtn:btnConfirm	OK	확인	确认
PopTwoBtn:btnOverwrite	Overwrite	덮어쓰기	覆盖
PopTwoBtn:lblContent	Do you want to delete all drawn objects in the current document?	문서 안에 포함된 드로잉을\n모두 지우시겠습니까?	要删除文件内的所有手绘对象吗？
PopTwoBtn:lblDeleteCurpage	Do you want to delete all drawn objects in the current page?	현재 페이지에 포함된 드로잉을 모두 지우시겠습니까?	要删除当前页面内的手绘对象吗？
PopTwoBtn:lblObject	Do you want to delete all the objects?	객체를 전체 지움 하시겠습니까?	要删除全部对象吗？
PopTwoBtn:lblModifiedObject	Do you want to delete all objects,\nincluding previously inserted objects?	이전에 입력한 객체를 포함하여\n현재 입력한 객체를 전체삭제\n하시겠습니까?	要删除全部对象 (包括以前输入的对象) 吗？
PopTwoBtn:lblAlreadyExist	%@'\nalready exists.	%@'\n이/가 존재합니다.	\%@\"\n已存在！"
PopTwoBtn:lblDeleteInk	Do you also want to save \n the pen annotations?	잉크 주석을 유지하시겠습니까?	要保留墨迹注释吗？
PopTwoBtn:lblChangeDoc	Some changes were made to this document.\nDo you want to save it?	문서를 교체하였습니다.\n저장하시겠습니까?	文件已被替换！\n要保存吗？
PopTwoBtn:lblSaveDoc	Do you want to save the document?	문서를 저장하시겠습니까?	要保存文件吗？
PopTwoBtn:lblSaveInk	Pen annotations history dectected.\nDo you want to save pen annotations?	잉크 주석 사용 내역이 있습니다.\n저장 하시겠습니까?	有墨迹注释内容！\n要保存吗？
PopTwoBtn:lblRetry	Do you want to retry?	재시도 하시겠습니까?	要重试吗？
PopTwoBtn:btnRetry	Retry	재시도	重试
PopTwoBtn:btnClose	Close	종료	结束
PopTwoBtn:btnYes	Yes	예	是
PopTwoBtn:btnNo	No	아니오	不是
PopTwoBtn:btnNoShow	Do not show this again	다시보지 않기	不再提示
PopTwoBtn:btnOK	OK	확인	确认
PopTwoBtn:noLookAgain	Do not show again	다시 보지 않기	不再提示
PopTwoBtn:btnPremium	Upgrade Account	계정 업그레이드	升级账户
			
PopShareMsg:ShareCurrentGroup	Share to the current group	현재 그룹에 공유	共享给当前群组
PopShareMsg:ShareOtherGroup	Share to the other group	다른 그룹에 공유	共享给其他群组
PopShareMsg:CancelShare	Cancel sharing	공유 취소	取消共享
			
PopEncoding:allExtract	Extract All	전체 압축해제	全部解压
			
PopEditCloud:fieldPassword	Required	필요함	必填
PopEditCloud:lblTitle	Edit Account	계정 편집	编辑账户
PopEditCloud:lblTitleWebDAV	Edit WebDAV	WebDAV 편집	编辑 WebDAV
PopEditCloud:lblService	Service	서비스	服务
PopEditCloud:lblServiceWebDAV	Server Address	서버 주소	服务器地址
PopEditCloud:lblEmail	E-mail	이메일	电子邮箱
PopEditCloud:lblEmailWebDAV	User Name	사용자 명	用户名称
PopEditCloud:lblPassword	Password	비밀번호	密码
PopEditCloud:btnConfirm	OK	확인	确认
PopEditCloud:btnBack	Back	이전	返回
